OG,asm_ver,check,status,detail
OG910,v241127.hic2,meryl_tar,OK,pawsey0964:oceanomics-refassemblies/OG910/meryl/OG910_v241127.hic2.meryldb.tar.gz
OG910,v241127.hic2,assembly:OG910_v241127.hic2.0.hifiasm.hap1.fasta,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly/OG910_v241127.hic2.0.hifiasm.hap1.fasta
OG910,v241127.hic2,assembly:OG910_v241127.hic2.0.hifiasm.hap2.fasta,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly/OG910_v241127.hic2.0.hifiasm.hap2.fasta
OG910,v241127.hic2,assembly:OG910_v241127.hic2.hic.hap1.p_ctg.gfa,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly/OG910_v241127.hic2.hic.hap1.p_ctg.gfa
OG910,v241127.hic2,assembly:OG910_v241127.hic2.hic.hap2.p_ctg.gfa,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly/OG910_v241127.hic2.hic.hap2.p_ctg.gfa
OG910,v241127.hic2,assembly:OG910_v241127.hic2.1.yahs.hap1_scaffolds_final.fa,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly/OG910_v241127.hic2.1.yahs.hap1_scaffolds_final.fa
OG910,v241127.hic2,assembly:OG910_v241127.hic2.1.yahs.hap2_scaffolds_final.fa,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly/OG910_v241127.hic2.1.yahs.hap2_scaffolds_final.fa
OG910,v241127.hic2,gfastats:OG910_v241127.hic2.0.hifiasm.hap1.assembly_summary.txt,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/gfastats/OG910_v241127.hic2.0.hifiasm.hap1.assembly_summary.txt
OG910,v241127.hic2,gfastats:OG910_v241127.hic2.0.hifiasm.hap2.assembly_summary.txt,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/gfastats/OG910_v241127.hic2.0.hifiasm.hap2.assembly_summary.txt
OG910,v241127.hic2,merqury_dir,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/merqury
OG910,v241127.hic2,busco_dir,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/busco
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap1.mapped.contigs.bam,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap1.mapped.contigs.bam
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap1.mapped.contigs.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap1.mapped.contigs.bam.bai
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap2.mapped.contigs.bam,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap2.mapped.contigs.bam
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap2.mapped.contigs.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap2.mapped.contigs.bam.bai
OG910,v241127.hic2,bam:OG910_v241127.hic2.dual.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.dual.mapped.PT.bam
OG910,v241127.hic2,bam:OG910_v241127.hic2.dual.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.dual.mapped.PT.bam.bai
OG910,v241127.hic2,bam:OG910_v241127.hic2.dual.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.dual.stats.txt
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap1.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap1.mapped.PT.bam
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap1.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap1.mapped.PT.bam.bai
OG910,v241127.hic2,bam:OG910_v241127.hic2.hic1.hap1.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hic1.hap1.stats.txt
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap2.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap2.mapped.PT.bam
OG910,v241127.hic2,bam:OG910_v241127.hic2.hap2.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hap2.mapped.PT.bam.bai
OG910,v241127.hic2,bam:OG910_v241127.hic2.hic1.hap2.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bam/OG910_v241127.hic2.hic1.hap2.stats.txt
OG910,v241127.hic2,decontamination/NCBI_dir,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/decontamination/NCBI
OG910,v241127.hic2,decontamination/tiara_dir,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/decontamination/tiara
OG910,v241127.hic2,gfastats_dir,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/gfastats
OG910,v241127.hic2,final_fasta,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/assembly
OG910,v241127.hic2,bedgraph:OG910_v241127.hic2.dual.hap.gaps.bedgraph,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bedgraph/OG910_v241127.hic2.dual.hap.gaps.bedgraph
OG910,v241127.hic2,bedgraph:OG910_v241127.hic2.dual.hap.bedgraph,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bedgraph/OG910_v241127.hic2.dual.hap.bedgraph
OG910,v241127.hic2,bedgraph:OG910_v241127.hic2_sorted_telomeric_locations.bedgraph,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/bedgraph/OG910_v241127.hic2_sorted_telomeric_locations.bedgraph
OG910,v241127.hic2,pretext_png:OG910_v241127.hic2.2.tiara.dual.pretext_snapshotFullMap.png,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/pretext/OG910_v241127.hic2.2.tiara.dual.pretext_snapshotFullMap.png
OG910,v241127.hic2,pretext_png:OG910_v241127.hic2.2.tiara.hap1.pretext_snapshotFullMap.png,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/pretext/OG910_v241127.hic2.2.tiara.hap1.pretext_snapshotFullMap.png
OG910,v241127.hic2,pretext_png:OG910_v241127.hic2.2.tiara.hap2.pretext_snapshotFullMap.png,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/pretext/OG910_v241127.hic2.2.tiara.hap2.pretext_snapshotFullMap.png
OG910,v241127.hic2,pretext:OG910_v241127.hic2.2.tiara.dual-hi-res.pretext,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/pretext/OG910_v241127.hic2.2.tiara.dual-hi-res.pretext
OG910,v241127.hic2,pretext:OG910_v241127.hic2.2.tiara.hap2.pretext,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/pretext/OG910_v241127.hic2.2.tiara.hap2.pretext
OG910,v241127.hic2,pretext:OG910_v241127.hic2.2.tiara.hap1.pretext,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/pretext/OG910_v241127.hic2.2.tiara.hap1.pretext
OG910,v241127.hic2,chromsyn_pdf,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/chromsyn/OG910.hapsyn.pdf
OG910,v241127.hic2,multiqc_dir,OK,pawsey0964:oceanomics-refassemblies/OG910/OG910_v241127.hic2/multiqc
